,Platform,Genre,Publisher,Critic_Score,User_Score,Rating,Cat
625,PC,Role-Playing,Electronic Arts,89.0,8.6,M,Strategy
626,XB,Shooter,Activision,78.0,8.9,T,Action
627,XB,Sports,Electronic Arts,81.0,8.8,E,Sports
628,PS3,Simulation,Ubisoft,67.0,6.9,T,Strategy
629,PS2,Sports,Activision,65.0,6.6,T,Sports
630,PS2,Sports,Sony Computer Entertainment,61.0,7.9,E,Sports
631,PS2,Sports,Electronic Arts,74.0,8,E,Sports
632,X360,Sports,Electronic Arts,88.0,8.4,E10+,Sports
633,X360,Sports,Electronic Arts,83.0,6.6,E10+,Sports
634,PS3,Strategy,Ubisoft,76.0,6.6,T,Strategy
635,XB,Shooter,Ubisoft,88.0,8,M,Action
636,PS2,Action,Activision,73.0,8.6,E10+,Action
637,PS3,Sports,Ubisoft,63.0,6.3,T,Sports
638,PS2,Racing,Ubisoft,47.0,6,T,Sports
639,PS3,Sports,Electronic Arts,82.0,7.2,E,Sports
