,Platform,Genre,Publisher,Critic_Score,User_Score,Rating,Cat
285,X360,Shooter,Electronic Arts,83.0,7.7,T,Action
286,X360,Shooter,THQ,70.0,6,M,Action
287,PS3,Role-Playing,Electronic Arts,94.0,8.5,M,Strategy
288,PS2,Misc,Sony Computer Entertainment,73.0,7.5,E10+,Puzzle
289,PS2,Sports,Electronic Arts,88.0,8.2,E,Sports
290,PS2,Sports,Electronic Arts,91.0,8.6,E,Sports
291,X360,Fighting,THQ,71.0,6.8,T,Sports
292,PC,Strategy,Ubisoft,83.0,7,T,Strategy
293,PS3,Role-Playing,Electronic Arts,93.0,5.5,M,Strategy
294,PS2,Sports,Activision,59.0,7.8,T,Sports
295,PC,Simulation,Electronic Arts,64.0,2.2,E10+,Strategy
296,PS2,Sports,Electronic Arts,80.0,8.9,E,Sports
297,PS3,Shooter,Electronic Arts,89.0,8.4,M,Action
298,PS3,Fighting,THQ,85.0,7.2,T,Sports
299,PS3,Action,Electronic Arts,55.0,6,M,Action
300,X360,Role-Playing,Activision,87.0,6.6,M,Strategy
301,PS2,Racing,Sony Computer Entertainment,91.0,8.4,M,Sports
302,PS2,Racing,Electronic Arts,87.0,8.4,E,Sports
303,X360,Fighting,Electronic Arts,87.0,8.1,T,Sports
304,XB,Action,Activision,79.0,7.5,E,Action
305,X360,Action,Electronic Arts,89.0,8.7,M,Action
306,PS3,Action,Ubisoft,85.0,6.4,M,Action
307,XB,Action,Activision,77.0,7.8,M,Action
308,XB,Role-Playing,Activision,86.0,8.6,T,Strategy
309,XB,Shooter,Ubisoft,80.0,8.9,T,Action
310,X360,Action,Electronic Arts,68.0,6,T,Action
311,X360,Shooter,Electronic Arts,83.0,5.9,M,Action
312,PS2,Shooter,Electronic Arts,73.0,8.9,M,Action
313,PS3,Action,THQ,76.0,8.1,T,Action
314,X360,Racing,Electronic Arts,88.0,6.9,E10+,Sports
315,PS3,Racing,Sony Computer Entertainment,82.0,8,T,Sports
316,PS2,Action,Electronic Arts,73.0,8.7,T,Action
317,PC,Shooter,Electronic Arts,81.0,6,M,Action
318,X360,Sports,Electronic Arts,82.0,7.9,E,Sports
319,PS3,Shooter,Ubisoft,81.0,7.9,M,Action
320,X360,Action,Electronic Arts,84.0,7.5,M,Action
321,XB,Shooter,Activision,88.0,7.4,M,Action
322,PS2,Racing,Electronic Arts,74.0,8.4,E10+,Sports
323,PS3,Shooter,Electronic Arts,84.0,8.1,T,Action
324,PS2,Sports,Electronic Arts,90.0,8.6,E,Sports
325,PS3,Fighting,THQ,74.0,7.3,T,Sports
326,X360,Platform,Activision,83.0,5.7,E10+,Adventure
327,X360,Fighting,THQ,84.0,6.7,T,Sports
